wavelength,0,1,2,3,4,5,unknown
190,-0.0019,0.0015,0.0359,0.0322,0.0338,0.0869,-0.7225
192,0.0019,0.0208,0.0314,0.0427,0.0281,0.0857,-0.8239
194,0.0057,0.0189,0.0432,0.0499,0.0525,0.088,-0.8513
196,-0.0024,-0.0036,0.0239,0.0316,0.0303,0.0818,-0.8982
198,-0.0052,0.0082,0.0255,0.0269,0.0308,0.07,-0.9445
200,-0.0145,0.0116,0.0301,0.0425,0.0349,0.0892,-1.0234
202,0.0017,0.021,0.0375,0.059,0.0464,0.099,-1.1563
204,0.0004,0.0106,0.0352,0.0347,0.0336,0.0968,-1.3164
206,0.0059,0.028,0.0584,0.0427,0.0574,0.1094,-1.4388
208,0.0058,0.0058,0.035,0.0424,0.0429,0.0946,-1.5531
210,0.0024,0.0232,0.0487,0.0788,0.0646,0.1142,-1.5901
212,0.0073,0.0093,0.0437,0.0651,0.048,0.1057,-1.5888
214,0.017,0.0362,0.0475,0.053,0.0642,0.1185,-1.5752
216,0.0089,0.0115,0.0315,0.0591,0.0569,0.1115,-1.5633
218,0.0129,0.0293,0.0716,0.0755,0.0704,0.1472,-1.5587
220,0.0005,0.0255,0.0554,0.0699,0.0716,0.1284,-1.6083
222,0.0029,0.0217,0.0512,0.0684,0.0485,0.1155,-1.6682
224,-0.0235,0.0154,0.0389,0.0678,0.0678,0.132,-1.759
226,0.0082,0.0305,0.0489,0.0837,0.0677,0.1267,-1.8467
228,0.0019,0.0373,0.0601,0.0656,0.0887,0.1272,-1.9436
230,0.0202,0.0471,0.0764,0.1042,0.0895,0.1776,-2.012
232,-0.0203,0.0133,0.0469,0.0566,0.0845,0.1224,-2.0963
234,-0.0014,0.0308,0.0871,0.1017,0.083,0.1603,-2.0997
236,0.0074,0.0264,0.0522,0.0845,0.0886,0.1351,-2.093
238,0.0111,0.0351,0.0571,0.0772,0.0868,0.149,-2.0664
240,-0.0098,0.0392,0.07,0.0919,0.0994,0.1556,-2.03
242,0.0015,0.0318,0.0708,0.1122,0.0972,0.1483,-1.9965
244,0.0104,0.0457,0.0835,0.0853,0.0877,0.1708,-1.9648
246,-0.0208,0.0149,0.0533,0.0696,0.0934,0.1553,-1.9685
248,-0.0087,0.0302,0.0695,0.1009,0.0793,0.1476,-1.9516
250,0.002,0.0317,0.0644,0.1017,0.1159,0.1899,-1.8012
252,0.0008,0.0224,0.0485,0.0987,0.1244,0.1925,-1.1003
254,0.0008,0.0257,0.048,0.0914,0.1173,0.1857,-0.4742
256,0.0001,0.0265,0.047,0.086,0.1085,0.1759,-0.115
258,0.0003,0.0272,0.0476,0.0828,0.1024,0.1705,0.09
260,0.0002,0.0279,0.0488,0.0823,0.1001,0.1691,0.2145
262,0,0.0286,0.0503,0.0833,0.1005,0.1718,0.2989
264,0,0.0306,0.0538,0.0877,0.1053,0.1801,0.3645
266,0,0.0336,0.0588,0.0952,0.1145,0.1938,0.4167
268,0.0003,0.0375,0.0654,0.1058,0.1276,0.2123,0.4578
270,0.0001,0.0417,0.0723,0.1172,0.1423,0.2327,0.4924
272,0.0001,0.0456,0.0791,0.1289,0.1572,0.2529,0.5175
274,0.0003,0.0499,0.0865,0.1411,0.1734,0.2746,0.5381
276,0.0002,0.0549,0.0952,0.1562,0.1929,0.301,0.5531
278,0.0003,0.0609,0.1057,0.1741,0.2171,0.3323,0.5662
280,0.0003,0.0674,0.1179,0.1947,0.2447,0.3684,0.5769
282,0.0002,0.0748,0.1311,0.217,0.2744,0.4069,0.5834
284,0.0002,0.0822,0.1447,0.2404,0.3056,0.4467,0.5887
286,0.0003,0.09,0.1592,0.2649,0.3384,0.4888,0.5914
288,0.0003,0.098,0.1743,0.2896,0.372,0.5315,0.5921
290,0.0003,0.1048,0.1877,0.3112,0.4001,0.5675,0.588
292,0.0004,0.1079,0.1944,0.3218,0.4138,0.5848,0.5917
294,0.0002,0.1054,0.192,0.3161,0.4058,0.5747,0.5903
296,0.0004,0.0979,0.1808,0.2962,0.3779,0.5404,0.5671
298,0.0004,0.0866,0.1635,0.2656,0.3362,0.4884,0.5274
300,0.0003,0.0736,0.1426,0.2294,0.2871,0.4265,0.4953
302,0.0003,0.0603,0.1216,0.1927,0.2372,0.3641,0.4732
304,0.0004,0.0483,0.1021,0.1588,0.191,0.3063,0.4545
306,0.0003,0.0378,0.0848,0.1292,0.1511,0.2559,0.4405
308,0.0004,0.0296,0.0712,0.1056,0.1189,0.2153,0.4306
310,0.0003,0.0236,0.0613,0.0885,0.0954,0.1855,0.4251
312,0.0004,0.0199,0.0548,0.0774,0.0801,0.1659,0.4231
314,0.0004,0.0177,0.0508,0.0706,0.0706,0.1535,0.4237
316,0.0003,0.0163,0.0481,0.0663,0.0643,0.1453,0.4251
318,0.0004,0.0154,0.0463,0.0632,0.0598,0.1394,0.4274
