Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.642173902	16729.74805	8.867153168	29412.20703	22538.98589
0.642185475	16629.83594	8.865089417	29412.20703	22491.34065
0.642197037	16780.70313	8.870166779	29412.20703	22649.55107
0.642208627	16697.09766	8.872958183	29412.20703	22530.21983
0.64222019	16685.44141	8.880781174	29426.95117	22454.65485
0.642231773	16770.39258	8.881512642	29426.95117	22532.9393
0.642243347	16687.3457	8.877780914	29426.95117	22453.7002
0.64225491	16756.32422	8.886925697	29426.95117	22541.15996
0.6422665	16679.98633	8.896215439	29426.95117	22438.54092
0.642278082	16731.2832	8.890542984	29467.47852	22449.91963
0.642289639	16669.30273	8.888054848	29467.47852	22492.67657
0.642301212	16662.49609	8.826739311	29467.47852	22436.04789
0.642312781	16674.53125	8.721705437	29467.47852	22434.75633
0.642324369	16687.58594	8.483931541	29467.47852	22439.60577
0.642335935	16730.06641	8.097017288	29479.05664	22506.50955
0.642347516	16651.80273	7.623672485	29479.05664	22405.75552
0.642359073	16649.48242	7.108778	29479.05664	22464.11618
0.642370645	16613.72656	6.55099678	29479.05664	22383.64119
0.642382231	16615.85156	5.981329441	29479.05664	22381.97596
0.642393822	16665.03125	5.449470043	29474.13281	22522.73414
0.642405381	16731.5918	4.910682678	29474.13281	22476.80729
0.642416963	16707.11328	4.411429405	29474.13281	22494.67662
0.642428528	16718.77148	3.942944765	29474.13281	22414.76514
0.642440117	16754.17578	3.490680933	29474.13281	22558.29649
0.642451694	16661.92578	3.124019623	29486.75781	22419.91856
0.642463263	16631.40039	2.758953571	29486.75781	22394.46557
0.642474842	16725.17969	2.435903788	29486.75781	22504.43448
0.64248641	16767.00586	2.145227671	29486.75781	22483.99471
0.642497966	16526.08594	1.917109847	29486.75781	22291.82715
0.642509562	16575.73828	1.705543518	29505.17188	22273.43272
0.642521125	16598.75781	1.475298166	29505.17188	22252.64552
0.642532683	16652.19922	1.3230896	29505.17188	22390.50772
0.642544278	16661.7207	1.170001864	29505.17188	22425.23941
0.642555836	16657.0625	1.005100727	29505.17188	22426.81658
0.642567435	16573.10742	0.868543267	29539.64453	22297.92377
0.642578993	16593.92578	0.800670445	29539.64453	22328.41704
0.642590554	16453.41211	0.690541387	29539.64453	22233.84491
0.642602127	16424.15234	0.638146579	29539.64453	22144.84634
0.642613717	16445.86133	0.541314066	29539.64453	22213.02231
0.642625289	16346.07715	0.504251123	29607.17578	22043.82544
0.642636852	16371.71777	0.454800963	29607.17578	22108.56945
0.642648443	16449.62305	0.378553897	29607.17578	22132.62457
0.642660005	16464.09375	0.336705864	29607.17578	22121.38272
0.642671591	16416.58398	0.293641001	29607.17578	22128.18684
0.64268315	16347.90137	0.239690647	29701.23633	21914.11515
0.642694731	16409.20313	0.199849412	29701.23633	22010.72832
