Day fraction since midnight on 	Time	200 kPa (Pa)	Source Pressure (Pa)
0.642529953	13.50140298	3961.079834	33437.08203
0.642541521	14.14394451	4267.916504	33437.08203
0.642553081	14.78649759	4515.813965	33379.43359
0.642564656	15.42906224	5095.600586	33379.43359
0.642576248	16.07163849	6401.152832	33379.43359
0.642587821	16.71422631	7411.61377	33379.43359
0.642599393	17.3568257	8222.102539	33379.43359
0.642610957	17.99943666	9283.583984	33296.94531
0.642622526	18.64205919	9924.769531	33296.94531
0.642634102	19.28469329	10636.32422	33296.94531
0.642645692	19.92733898	11491.77148	33296.94531
0.642657259	20.56999624	12892.28223	33296.94531
0.642668827	21.21266507	13981.55762	33327.37891
0.642680418	21.85534549	14660.09766	33327.37891
0.642691987	22.49803747	15012.55859	33327.37891
0.642703559	23.14074103	15177.2793	33327.37891
0.642715134	23.78345617	15296.97656	33327.37891
0.642726696	24.42618286	15531.99316	33343.89453
0.642738279	25.06892114	16136.7002	33343.89453
0.642749864	25.711671	17339.61914	33343.89453
0.642761445	26.35443245	18840.28125	33343.89453
0.642773003	26.99720545	19867.44727	33343.89453
0.642784582	27.63999003	20578.68945	33379.41016
0.64279616	28.28278619	21220.80273	33379.41016
0.642807722	28.92559392	22644.30078	33379.41016
0.6428193	29.56841322	23901.53516	33379.41016
0.642830881	30.2112441	24766.73242	33379.41016
0.642842455	30.85408655	25453.44336	33405.80469
0.64285403	31.49694058	26054.20117	33405.80469
0.642865589	32.13980617	26565.83008	33405.80469
0.642877193	32.78268336	27975.97852	33405.80469
0.642888765	33.42557213	29303.85742	33405.80469
0.642900341	34.06847247	29788.33984	33437.26953
0.642911901	34.71138437	30904.93164	33437.26953
0.642923464	35.35430784	31260.04688	33437.26953
0.642935059	35.99724289	31461.12305	33437.26953
0.642946605	36.6401895	31782.82617	33437.26953
0.64295818	37.28314768	32380.13672	33480.35156
0.64296975	37.92611743	32969.26953	33480.35156
0.64298135	38.56909878	33937.18359	33480.35156
0.642992934	39.21209171	34260.36719	33480.35156
0.643004499	39.85509621	34416.30078	33480.35156
0.64301606	40.49811227	34403	33494.48438
