Day fraction since midnight on ,200 kPa (Pa),DO probe (mg/L),Source Pressure (Pa),air valve control ()
0.652914772,16706.84375,0.540193498,30262.44336,272098.1628
0.652926355,16571.50781,0.638759911,30045.73242,272864.6768
0.652937924,16596.07031,0.607289493,30045.73242,273437.9399
0.652949491,16668.125,0.742711961,30045.73242,274335.0505
0.652961076,16850.99023,0.849204123,30045.73242,275001.5336
0.652972643,16848.85352,0.995558262,30045.73242,276247.3779
0.652984222,16796.05273,1.095384836,29920.43359,276704.7665
0.652995792,16784.10156,1.182167649,29920.43359,277051.6672
0.653007376,16770.74609,1.33316648,29920.43359,276008.0587
0.653018946,16715.12305,1.460468411,29920.43359,276930.8058
0.653030517,16702.90234,1.545598149,29920.43359,275785.0045
0.653042096,16764.59766,1.636065841,29806.39453,277272.0031
0.653053674,16766.12109,1.78635633,29806.39453,276953.4579
0.653065244,16683.67383,1.874108315,29806.39453,276716.318
0.653076821,16565.65039,1.996588588,29806.39453,275932.5782
0.653088366,16700.16797,2.114881516,29806.39453,277535.2955
0.653099962,16626.97461,2.281493425,29664.16211,277928.4303
0.653111535,16676.68164,2.339294434,29664.16211,278908.8124
0.653123115,16636.23828,2.501879931,29664.16211,277939.9771
0.653134701,16691.27344,2.656345367,29664.16211,278883.8825
0.653146264,16596.0625,2.79536438,29664.16211,277294.0501
0.653157834,16535.16602,2.868267059,29534.29883,278090.2416
0.65316943,16572.01172,3.032038212,29534.29883,278675.259
0.653180998,16507.35742,3.144680977,29534.29883,277348.8429
0.653192572,16514.31641,3.25199151,29534.29883,278176.7102
0.653204132,16490.26172,3.315726042,29534.29883,277477.3449
0.653215693,16476.91992,3.429096699,29432.08398,279244.8727
0.653227281,16480.68164,3.514923096,29432.08398,278644.5403
0.653238843,16417.55859,3.639762878,29432.08398,278133.9335
0.653250445,16396.88477,3.778221369,29432.08398,278754.6648
0.653262013,16442.22461,3.921132088,29432.08398,278417.4435
0.653273585,16420.85938,4.008788109,29320.31641,280158.2989
0.653285163,16472.03516,4.129124641,29320.31641,279907.1449
0.653296718,16433.00977,4.26075697,29320.31641,279255.6034
0.653308304,16495.63477,4.417922497,29320.31641,280236.0764
0.653319886,16543.20508,4.517353058,29320.31641,281764.8717
0.653331468,16491.89258,4.646619797,29361.23242,279599.9971
0.653343034,16461.45117,4.768930435,29361.23242,279403.7364
0.653354596,16424.45898,4.824882984,29361.23242,279339.6953
0.65336619,16475.29297,4.94527626,29361.23242,279501.7309
0.653377763,16372.65527,5.065223217,29361.23242,278739.0457
0.653389333,16432.52148,5.18828249,29316.22656,279404.1686
0.653400905,16419.69141,5.294445515,29316.22656,280380.3056
0.653412465,16387.14453,5.41119957,29316.22656,279379.8976
0.653424043,16384.29102,5.452134132,29316.22656,278483.2292
0.653435628,16345.61621,5.56065321,29316.22656,278750.8572
0.653447183,16417.07617,5.686282635,29269.53711,280642.9202
0.653458763,16374.79785,5.774173737,29269.53711,279887.5773
